bldg_id,barangay,latitude,longitude,year_built,floors,material,occupancy,vs30,event_id,magnitude,dist_km,pga_g,pgv_cms,damage_class,damage_severity
ANT-04629,San Luis,14.64637,121.20381,1958,8,Concrete,Industrial,507,EVT-069,5.1,55.24,0.13,15.6,1,Class 1: Light Damage
ANT-03318,San Luis,14.62849,121.17267,1967,5,Wood,Industrial,563,EVT-006,7.2,100.85,0.286,34.3,2,Class 2: Moderate Damage
ANT-04828,Dela Paz,14.5888,121.17573,2015,5,Steel,Residential,747,EVT-061,8.2,83.7,0.764,91.7,3,Class 3: Severe Damage
ANT-02185,Inarawan,14.55239,121.12138,1969,3,Concrete,Industrial,444,EVT-034,5.3,69.26,0.117,14.1,2,Class 2: Moderate Damage
ANT-04602,Cupang,14.55904,121.18156,2013,8,Steel,Hospital,701,EVT-024,5.6,78.59,0.108,13.0,0,Class 0: No Damage
ANT-03146,Dalig,14.55155,121.12512,2018,7,Steel,Industrial,641,EVT-092,5.7,66.4,0.147,17.7,0,Class 0: No Damage
ANT-02172,San Isidro,14.55816,121.16817,1995,5,Steel,Industrial,549,EVT-100,5.4,78.71,0.097,11.6,0,Class 0: No Damage
ANT-01120,Dela Paz,14.60568,121.1598,1994,9,Masonry_URM,Industrial,675,EVT-084,5.9,47.3,0.273,32.8,2,Class 2: Moderate Damage
ANT-04370,Mayamot,14.60854,121.12375,1989,6,Masonry_URM,Residential,667,EVT-081,6.0,50.01,0.283,33.9,2,Class 2: Moderate Damage
ANT-00786,San Jose,14.55767,121.14429,1969,7,Wood,Hospital,272,EVT-034,5.3,66.97,0.142,17.0,1,Class 1: Light Damage
ANT-04662,San Juan,14.6042,121.13727,1997,1,Steel,Industrial,611,EVT-066,5.7,18.7,0.666,79.9,2,Class 2: Moderate Damage
ANT-00122,Bagong Nayon,14.64935,121.17997,1992,3,Concrete,Hospital,632,EVT-013,5.1,68.8,0.087,10.4,0,Class 0: No Damage
ANT-04305,Cupang,14.55514,121.24526,2001,1,Steel,School,731,EVT-013,5.1,61.84,0.095,11.5,0,Class 0: No Damage
ANT-00343,Dela Paz,14.64451,121.21044,1962,9,Steel,School,584,EVT-038,5.5,87.5,0.093,11.1,0,Class 0: No Damage
ANT-04259,Dalig,14.61331,121.14791,1976,9,Masonry_URM,Residential,679,EVT-001,6.8,71.47,0.316,37.9,3,Class 3: Severe Damage
ANT-04782,San Roque,14.59112,121.20423,2023,2,Masonry_URM,Commercial,660,EVT-080,7.4,75.36,0.503,60.3,3,Class 3: Severe Damage
ANT-00883,San Roque,14.55862,121.21353,1987,4,Concrete,Industrial,633,EVT-035,6.1,59.27,0.249,29.9,1,Class 1: Light Damage
ANT-02543,Bagong Nayon,14.56346,121.21077,1990,7,Concrete,Commercial,693,EVT-025,7.8,75.48,0.662,79.5,3,Class 3: Severe Damage
ANT-00362,Cupang,14.59316,121.12875,2006,5,Wood,Residential,305,EVT-013,5.1,61.24,0.126,15.1,2,Class 2: Moderate Damage
ANT-02436,Bagong Nayon,14.57165,121.20698,1961,8,Masonry_URM,School,364,EVT-037,5.6,84.94,0.12,14.4,1,Class 1: Light Damage
ANT-01017,San Luis,14.55714,121.24548,2016,1,Steel,School,552,EVT-038,5.5,79.94,0.106,12.8,0,Class 0: No Damage
ANT-02653,Cupang,14.60826,121.17016,1993,7,Wood,Industrial,655,EVT-027,7.0,54.95,0.53,63.6,3,Class 3: Severe Damage
ANT-03866,Muntindilaw,14.62572,121.17009,2012,8,Concrete,Industrial,158,EVT-087,5.0,73.48,0.118,14.2,1,Class 1: Light Damage
ANT-03471,Cupang,14.59486,121.13861,1992,1,Concrete,Commercial,419,EVT-087,5.0,77.2,0.083,9.9,0,Class 0: No Damage
ANT-03525,Mayamot,14.636,121.18025,2021,6,Concrete,Industrial,430,EVT-010,7.2,40.91,1.014,121.7,4,Class 4: Collapse
ANT-04270,Bagong Nayon,14.60697,121.22798,2009,3,Steel,School,627,EVT-019,5.0,57.74,0.106,12.7,0,Class 0: No Damage
ANT-02529,San Juan,14.62972,121.13494,2008,8,Masonry_URM,Industrial,645,EVT-080,7.4,67.78,0.582,69.8,3,Class 3: Severe Damage
ANT-02319,Cupang,14.57315,121.12776,1971,9,Steel,Industrial,758,EVT-055,5.6,89.04,0.093,11.2,0,Class 0: No Damage
ANT-00942,San Juan,14.62666,121.22168,2013,1,Concrete,Industrial,337,EVT-083,6.3,9.6,2.319,278.3,4,Class 4: Collapse
ANT-03659,San Isidro,14.63579,121.2048,1995,5,Steel,Residential,593,EVT-098,5.5,73.41,0.117,14.1,0,Class 0: No Damage
ANT-01655,Inarawan,14.56963,121.12186,2021,9,Steel,School,300,EVT-088,5.5,62.61,0.18,21.6,1,Class 1: Light Damage
